month,zipcode,avg_hours
2024-01,12345,108.96
2024-01,14606,337.84
2024-01,28590,101.77
2024-01,56377,729.54
2024-01,77450,734.37
2024-01,84117,24.27
2024-02,02062,735.91
2024-02,10000,823.24
2024-02,10001,253.55
2024-02,10002,197.4
2024-02,10003,241.51
2024-02,10004,141.84
2024-02,10005,139.67
2024-02,10006,210.04
2024-02,10007,111.62
2024-02,10009,193.21
2024-02,10010,350.3
2024-02,10011,210.48
2024-02,10012,222.03
2024-02,10013,298.72
2024-02,10014,336.83
2024-02,10016,794.31
2024-02,10017,340.39
2024-02,10018,245.58
2024-02,10019,256.63
2024-02,10020,328.65
2024-02,10021,481.8
2024-02,10022,327.53
2024-02,10023,581.05
2024-02,10024,413.95
2024-02,10025,472.15
2024-02,10026,263.74
2024-02,10027,227.47
2024-02,10028,409.47
2024-02,10029,323.6
2024-02,10030,280.67
2024-02,10031,207.78
2024-02,10032,329.82
2024-02,10033,356.49
2024-02,10034,316.03
2024-02,10035,658.16
2024-02,10036,289.91
2024-02,10037,265.37
2024-02,10038,159.75
2024-02,10039,212.72
2024-02,10040,282.22
2024-02,10041,154.83
2024-02,10044,228.1
2024-02,10045,0.46
2024-02,10048,1.07
2024-02,10065,386.66
2024-02,10069,161.51
2024-02,10075,218.76
2024-02,10103,431.72
2024-02,10105,855.72
2024-02,10106,0.48
2024-02,10107,1.12
2024-02,10110,4.5
2024-02,10111,0.48
2024-02,10115,0.37
2024-02,10118,12.89
2024-02,10119,889.34
2024-02,10120,0.83
2024-02,10121,869.81
2024-02,10122,0.28
2024-02,10123,120.58
2024-02,10128,434.79
2024-02,10152,1159.57
2024-02,10153,196.63
2024-02,10162,38.41
2024-02,10165,1013.62
2024-02,10166,0.51
2024-02,10167,1.63
2024-02,10168,0.69
2024-02,10169,34.41
2024-02,10171,290.24
2024-02,10172,2258.93
2024-02,10173,0.4
2024-02,10174,1.51
2024-02,10176,296.0
2024-02,10178,976.26
2024-02,10179,15.65
2024-02,10271,1.54
2024-02,10278,7.67
2024-02,10279,98.42
2024-02,10280,371.18
2024-02,10281,1811.77
2024-02,10282,704.24
2024-02,10301,211.76
2024-02,10302,480.75
2024-02,10303,398.76
2024-02,10304,321.1
2024-02,10305,231.57
2024-02,10306,317.97
2024-02,10307,193.73
